System ID,System Name,,,,,,
17,Dashboard,,,,,,
System Channel ID,OBDEleven Description,Channel subchannel #,Subchannel Name,Value type,Value minimum,Value Maximum,Subchannel description
1,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
2,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
3,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
4,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
5,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
6,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
7,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
8,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
9,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
10,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
11,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
12,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
13,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
14,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
15,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
16,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
17,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
18,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
19,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
20,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
21,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
22,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
23,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
24,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
25,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
26,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
27,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
28,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
29,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
30,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
31,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
32,,,,,,,
,,1,,,,,
,,2,,,,,
,,3,,,,,
,,4,,,,,
33,,,,,,,
